,dataset,paper,simplicity,clarity,adequate_hypothesis,adequate_data,error_free
0,tube_levels,easy_with_hint201,6.0,9.0,10.0,10.0,10.0
1,tube_levels,easy_with_hint202,8.0,10.0,10.0,10.0,10.0
2,tube_levels,easy_with_hint203,6.0,9.0,10.0,10.0,10.0
3,tube_levels,easy_with_hint204,7.0,9.0,10.0,10.0,10.0
4,tube_levels,easy_with_hint205,8.0,9.0,10.0,10.0,10.0
5,tube_levels,easy_with_hint206,8.0,9.0,10.0,10.0,10.0
6,tube_levels,easy_with_hint207,5.0,10.0,10.0,10.0,10.0
7,tube_levels,easy_with_hint208,5.0,9.0,10.0,10.0,9.0
8,tube_levels,easy_with_hint209,5.0,9.0,10.0,10.0,10.0
9,tube_levels,easy_with_hint210,7.0,9.0,10.0,10.0,9.0
10,tube_levels,medium_with_hint201,6.0,9.0,10.0,10.0,10.0
11,tube_levels,medium_with_hint202,5.0,8.0,9.0,10.0,6.0
12,tube_levels,medium_with_hint203,8.0,10.0,10.0,10.0,9.0
13,tube_levels,medium_with_hint204,8.0,9.0,10.0,10.0,10.0
14,tube_levels,medium_with_hint205,7.0,9.0,10.0,10.0,9.0
15,tube_levels,medium_with_hint206,6.0,10.0,10.0,10.0,10.0
16,tube_levels,medium_with_hint207,6.0,9.0,9.0,8.0,8.0
17,tube_levels,medium_with_hint208,6.0,9.0,10.0,10.0,10.0
18,tube_levels,medium_with_hint209,6.0,9.0,10.0,10.0,10.0
19,tube_levels,medium_with_hint210,6.0,9.0,10.0,10.0,10.0
20,tube_levels,hard_with_hint201,6.0,8.0,10.0,10.0,10.0
21,tube_levels,hard_with_hint202,5.0,8.0,10.0,7.0,8.0
22,tube_levels,hard_with_hint203,5.0,10.0,10.0,8.0,9.0
23,tube_levels,hard_with_hint204,6.0,8.0,9.0,10.0,10.0
24,tube_levels,hard_with_hint205,5.0,10.0,10.0,10.0,10.0
25,tube_levels,hard_with_hint206,5.0,7.0,10.0,10.0,9.0
26,tube_levels,hard_with_hint207,6.0,8.0,10.0,10.0,9.0
27,tube_levels,hard_with_hint208,5.0,8.0,10.0,9.0,10.0
28,tube_levels,hard_with_hint209,6.0,8.0,10.0,8.0,9.0
29,tube_levels,hard_with_hint210,8.0,10.0,10.0,10.0,10.0
30,nicu,paper201,7.0,8.0,9.0,7.0,10.0
31,nicu,paper202,7.0,8.0,8.0,8.0,9.0
32,nicu,paper203,7.0,8.0,9.0,7.0,9.0
33,nicu,paper204,7.0,9.0,8.0,10.0,10.0
34,nicu,paper205,9.0,9.0,10.0,10.0,10.0
35,nicu,paper206,6.0,8.0,7.0,7.0,9.0
36,nicu,paper207,7.0,9.0,10.0,10.0,10.0
37,nicu,paper208,7.0,8.0,9.0,8.0,8.0
38,nicu,paper209,6.0,9.0,9.0,10.0,8.0
39,nicu,paper210,5.0,9.0,10.0,7.0,10.0
40,diabetes,paper1301,8.0,9.0,10.0,10.0,10.0
41,diabetes,paper1302,10.0,8.0,10.0,10.0,10.0
42,diabetes,paper1303,10.0,9.0,10.0,10.0,10.0
43,diabetes,paper1304,6.0,9.0,10.0,10.0,9.0
44,diabetes,paper1308,7.0,8.0,10.0,10.0,10.0
45,congress_social_network,open_goal_accum_0,7.0,8.0,10.0,8.0,10.0
46,congress_social_network,open_goal_accum_1,5.0,9.0,7.0,10.0,8.0
47,congress_social_network,open_goal_accum_2,7.0,9.0,10.0,10.0,10.0
48,congress_social_network,open_goal_accum_3,7.0,8.0,10.0,9.0,9.0
49,congress_social_network,open_goal_accum_4,8.0,8.0,4.0,7.0,10.0
